HRLQ 5C
MM04 7C
ANM AK
BAGL AK
BAL AK
BARK AK
BARN AK
BCP AK
BERG AK
BESE AK
BGLC AK
BMR AK
BPAW AK
BRLK AK
BRSE AK
BWN AK
CAPN AK
CAST AK
CCB AK
CHI AK
CHN AK
CHUM AK
CNP AK
COLD AK
CRQ AK
CTG AK
CUT AK
CYK AK
DCPH AK
DHY AK
DIV AK
DOT AK
EYAK AK
FALS AK
FID AK
FIRE AK
FYU AK
GAMB AK
GCSA AK
GHO AK
GLB AK
GLI AK
GOAT AK
GRIN AK
GRNC AK
HDA AK
HIN AK
HMT AK
HOM AK
ISLE AK
JIS AK
KAI AK
KHIT AK
KIAG AK
KLU AK
KNK AK
KOTZ AK
KTH AK
KULT AK
LOGN AK
MCAR AK
MCK AK
MDM AK
MESA AK
MLY AK
NEA AK
NEA2 AK
NICH AK
NIKH AK
NOTK AK
PAX AK
PIN AK
PNL AK
PPD AK
PPLA AK
PTPK AK
PWL AK
RAG AK
RC01 AK
RDOG AK
RIDG AK
RKAV AK
RND AK
SAMH AK
SAW AK
SCM AK
SCRK AK
SGA AK
SII AK
SKN AK
SLK AK
SPIA AK
SSN AK
SSP AK
SUCK AK
SWD AK
TABL AK
TGL AK
TNA AK
TRF AK
UNV AK
VRDI AK
WAT1 AK
WAT2 AK
WAT3 AK
WAT4 AK
WAT5 AK
WAT6 AK
WAT7 AK
WAX AK
WRH AK
YAH AK
PMR AT
SIT AT
BBB CN
INK CN
COL DW
KDAK II
COL IU
COLA IU
A19K TA
A21K TA
A22K TA
A36M TA
B18K TA
B20K TA
B21K TA
B22K TA
C16K TA
C17K TA
C18K TA
C19K TA
C21K TA
C23K TA
C24K TA
C26K TA
C27K TA
C36M TA
D17K TA
D19K TA
D20K TA
D22K TA
D23K TA
D24K TA
D25K TA
D27M TA
D28M TA
E17K TA
E18K TA
E19K TA
E20K TA
E21K TA
E22K TA
E23K TA
E24K TA
E25K TA
E27K TA
E28M TA
E29M TA
EPYK TA
F14K TA
F15K TA
F17K TA
F18K TA
F19K TA
F20K TA
F21K TA
F22K TA
F24K TA
F25K TA
F26K TA
F28M TA
F30M TA
F31M TA
G15K TA
G16K TA
G17K TA
G18K TA
G19K TA
G21K TA
G22K TA
G23K TA
G24K TA
G25K TA
G26K TA
G27K TA
G29M TA
G30M TA
G31M TA
H16K TA
H17K TA
H18K TA
H19K TA
H20K TA
H21K TA
H22K TA
H23K TA
H24K TA
H25K TA
H25L TA
H27K TA
H29M TA
H31M TA
HARP TA
HDA TA
I17K TA
I20K TA
I21K TA
I23K TA
I26K TA
I27K TA
I28M TA
I29M TA
I30M TA
J14K TA
J16K TA
J17K TA
J18K TA
J19K TA
J20K TA
J25K TA
J26K TA
J26L TA
J29M TA
J29N TA
J30M TA
K13K TA
K15K TA
K17K TA
K20K TA
K24K TA
K27K TA
K29M TA
L14K TA
L15K TA
L16K TA
L17K TA
L18K TA
L19K TA
L20K TA
L26K TA
L27K TA
L29M TA
M11K TA
M13K TA
M14K TA
M15K TA
M16K TA
M17K TA
M18K TA
M19K TA
M20K TA
M22K TA
M23K TA
M24K TA
M26K TA
M27K TA
M29M TA
M30M TA
M31M TA
N14K TA
N15K TA
N16K TA
N17K TA
N18K TA
N19K TA
N20K TA
N25K TA
N30M TA
N31M TA
N32M TA
O14K TA
O15K TA
O16K TA
O17K TA
O18K TA
O19K TA
O20K TA
O22K TA
O28M TA
O29M TA
O30N TA
P08K TA
P16K TA
P17K TA
P18K TA
P19K TA
P23K TA
P29M TA
P30M TA
P32M TA
P33M TA
POKR TA
Q16K TA
Q17K TA
Q18K TA
Q19K TA
Q20K TA
Q23K TA
Q32M TA
R16K TA
R17K TA
R18K TA
R31K TA
R32K TA
R33M TA
S12K TA
S14K TA
S31K TA
S32K TA
S34M TA
T33K TA
T35M TA
TCOL TA
TOLK TA
U33K TA
U35K TA
V35K TA
EGAK US
WRAK US
AND XE
ANT XE
BSH XE
BYR XE
CAR XE
CZN XE
DH1 XE
DH2 XE
DH3 XE
EFS XE
FID XE
GNR XE
GOO XE
HURN XE
MCK XE
MHR XE
NNA XE
PVE XE
PVW XE
PYY XE
RCK XE
RND XE
RND5 XE
RNDE XE
RNDN XE
RNDR XE
RNDS XE
SAN XE
SBL XE
SLM XE
SLT XE
SOB XE
TCE XE
TLKY XE
WOLF XE
WON XE
YAN XE
BOOM XF
BUBH XF
BUSH XF
CNTR XF
COAL XF
COED XF
DOST XF
FUFU XF
GOAT XF
GONR XF
GRAP XF
JANK XF
KAVU XF
LEFT XF
LINA XF
LINB XF
LINC XF
LIND XF
LINE XF
LINF XF
LUPN XF
STEW XF
TARD XF
TRIP XF
BBB XL
A02 XN
B02 XN
B03 XN
B04 XN
B05 XN
B06 XN
B07 XN
B08 XN
B09 XN
B10 XN
B11 XN
B12 XN
B13 XN
B14 XN
B15 XN
